id,disfluent_sentence,fluent_sentence,i0_indexing,pos_tags
2875-194,but uh that that sold me in buying a new car you know i mean certainly interested in buying a new car but again the yeah the american cars were for superior in styling and,that sold me in buying a new car certainly interested in buying a new car but again the american cars were for superior in styling and,I I I 0 0 0 0 0 0 0 0 I I I I 0 0 0 0 0 0 0 0 0 I I 0 0 0 0 0 0 0 0 0,CC UH IN DT VBD PRP IN VBG DT JJ NN PRP VBP JJ VBP RB JJ IN VBG DT JJ NN CC RB DT NN DT JJ NNS VBD IN JJ IN NN CC
2851-110,well it 's getting,it 's getting,I 0 0 0,IN PRP VBZ VBG
2525-27,it is and and i do n't know if it 's uh the family you know thing where they 're not bonding anymore where mothers are working all the time and the kids are n't getting the attention that they need or the television,it is the family thing where they 're not bonding anymore where mothers are working all the time and the kids are n't getting the attention that they need or the television,0 0 I I I I I I I I I I 0 0 I I 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,PRP VBZ CC CC VB VBP RB VB IN PRP VBZ JJ DT NN PRP VBP NN WRB PRP VBP RB VBG RB WRB NNS VBP VBG PDT DT NN CC DT NNS VBP RB VBG DT NN IN PRP VBP CC DT NN
2525-27,and i i really think that we 're we 're falling by the wayside with not incarcerating these people,and i really think that we 're falling by the wayside with not incarcerating these people,0 0 0 I 0 0 0 0 0 I I 0 0 0 0 0 0 0 0,CC NN VBP RB VBP IN PRP VBP PRP VBP VBG IN DT NN IN RB VBG DT NNS
2950-102,yeah,,I,NN
2950-102,it is an old farm house and uh we really like it here,it is an old farm house and we really like it here,0 0 0 0 0 0 0 I 0 0 0 0 0,PRP VBZ DT JJ NN NN CC NN PRP RB IN PRP RB
3426-66,oh i like scary ones that are realistic,i like scary ones that are realistic,I 0 0 0 0 0 0 0,UH NN IN JJ NNS WDT VBP JJ
3304-28,yeah what what does a computer club do,what does a computer club do,I I 0 0 0 0 0 0,VB WP WP VBZ DT NN NN VBP
3304-28,i did n't know there were such things,i did n't know there were such things,0 0 0 0 0 0 0 0,NN VBD RB VB EX VBD JJ NNS
2756-152,is that is that how you got into this uh this you know uh data base,is that how you got into this data base,0 0 I I 0 0 0 0 0 I I I I 0 0 0,VBZ DT VBZ IN WRB PRP VBD IN DT NN DT PRP VBP JJ NNS NN
3845-47,yeah that 's right,that 's right,I 0 0 0,NN WDT VBZ JJ
3073-109,that 's why i do n't get to watch that much,that 's why i do n't get to watch that much,0 0 0 0 0 0 0 0 0 0 0,DT VBZ WRB JJ VBP RB VB TO VB IN JJ
3073-109,i mean i watch nine o'clock i do okay because the kids are all in bed but before that i really there 's not much time,i mean i watch nine o'clock i do okay because the kids are all in bed but before that i really there 's not much time,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,JJ VBP JJ VBP CD NN NNS VBP RB IN DT NNS VBP DT IN NN CC IN DT NN RB EX VBZ RB JJ NN
3073-109,or like at six thirty i 'll watch wheel of fortune or something like that,or like at six thirty i 'll watch wheel of fortune or something like that,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,CC VB IN CD NN NN MD VB NN IN NN CC NN IN DT
3038-37,well it was within oh ninety days,well it was within ninety days,0 0 0 0 I 0 0,RB PRP VBD IN JJ NN NNS
4133-35,it 's also i used to live in georgia and you know the the big thing down there was all right we have capital punishment but if you look at who gets accused and who are the ones who actually get executed it 's very racially related and ethnically related,i used to live in georgia and the big thing down there was we have capital punishment but if you look at who gets accused and who are the ones who actually get executed it 's very racially related and ethnically related,I I I 0 0 0 0 0 0 0 I I I 0 0 0 0 0 0 I I 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,PRP VBZ RB RB VBN TO VB IN NN CC PRP VBP DT DT JJ NN RP RB VBD DT NN PRP VBP JJ NN CC IN PRP VBP IN WP VBZ VBN CC WP VBP DT NNS WP RB VBP VBN PRP VBZ RB RB VBN CC RB JJ
2789-171,all righty well thank you,thank you,I I I 0 0,DT VBP RB IN PRP
2789-171,it was nice talking to you,it was nice talking to you,0 0 0 0 0 0,PRP VBD JJ VBG TO PRP
3326-108,yeah they just really ca n't wait to be able to take their kids where they had fun,they just really ca n't wait to be able to take their kids where they had fun,I 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,NN PRP RB RB MD RB VB TO VB JJ TO VB PRP$ NNS WRB PRP VBD NN
3097-45,i did very much the same thing until my boys got into high school and said mom please do not be involved,i did very much the same thing until my boys got into high school and said mom please do not be involved,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,NN VBD RB RB DT JJ NN IN PRP$ NNS VBD IN JJ NN CC VBD NN NN VB RB VB VBN
3097-45,then i went back to work,then i went back to work,0 0 0 0 0 0,RB VB VBD RB TO VB
2896-17,yeah,,I,NN
2896-17,um what i what i 'm trying to do is i 've got yellow tile in both the bathrooms so i want something that 's going to tie that together and i 'm changing the like the towel racks and stuff the the fixtures out to make them wood i 'm going to put wood in there,what i 'm trying to do is i 've got yellow tile in both the bathrooms so i want something that 's going to tie that together and i 'm changing the towel racks and stuff the fixtures out to make them wood i 'm going to put wood in there,I I I 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 I I 0 0 0 0 0 I 0 0 0 0 0 0 0 0 0 0 0 0 0 0,IN WP VBP WP VBP VBP VBG TO VB VBZ JJ VBP VBN JJ NN IN CC DT NNS RB JJ VBP NN WDT VBZ VBG TO VB IN RB CC VB VBP VBG DT IN DT NN NNS CC VB DT DT NNS RP TO VB PRP NN NN VBP VBG TO VB NN IN EX
3469-30,right exactly,right exactly,0 0,RB RB
3469-30,and i think it 's important that they you know they allow a good number of people in every year because really they 're the ones who work the hardest and do the jobs that that we do n't want to do,and i think it 's important that they allow a good number of people in every year because really they 're the ones who work the hardest and do the jobs that we do n't want to do,0 0 0 0 0 0 0 0 I I I 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 I 0 0 0 0 0 0,CC NN VBP PRP VBZ JJ IN PRP PRP VBP PRP VBP DT JJ NN IN NNS IN DT NN IN RB PRP VBP DT NNS WP VBP DT JJS CC VBP DT NNS IN DT PRP VBP RB VB TO VB
3469-30,and i just i do n't know i have personally i have a problem with it i think that you know if someone wants to come in and they can prove that they 're going to work and they 're going to be a good citizen that we should n't close our door,and personally i have a problem with it if someone wants to come in and they can prove that they 're going to work and they 're going to be a good citizen that we should n't close our door,0 I I I I I I I I 0 0 0 0 0 0 0 I I I I I 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,CC VB RB RB VBP RB VB NNS VBP RB VBN VBP DT NN IN PRP VBZ VBP IN PRP VBP IN NN VBZ TO VB IN CC PRP MD VB IN PRP VBP VBG TO VB CC PRP VBP VBG TO VB DT JJ NN IN PRP MD RB VB PRP$ NN
2121-51,i have n't read that,i have n't read that,0 0 0 0 0,NNS VBP RB VB IN
3029-138,there you go,there you go,0 0 0,RB PRP VBP
3994-36,yep they went out and bought us a piano and for three months,yep they went out and bought us a piano and for three months,0 0 0 0 0 0 0 0 0 0 0 0 0,NN PRP VBD RP CC VBD PRP DT NN CC IN CD NNS
4483-9,they 've got these wh it 's it 's county wide program now,they 've got these it 's county wide program now,0 0 0 0 I I I 0 0 0 0 0 0,PRP VBP VBN DT IN PRP VBZ PRP VBZ JJ JJ NN RB
4483-9,and what they 've done is they 've broken everything down into garbage,and what they 've done is they 've broken everything down into garbage,0 0 0 0 0 0 0 0 0 0 0 0 0,CC WP PRP VBP VBN VBZ PRP VBP VBN NN RP IN NN
4483-9,uh yard trash,yard trash,I 0 0,JJ NN NN
4483-9,plastic cr cans and glass,plastic cans and glass,0 I 0 0 0,NN NN NNS CC NN
4483-9,and then uh paper,and then paper,0 0 I 0,CC RB JJ NN
4483-9,which in the paper it 's just uh newspaper and corrugated cardboard,which in the paper it 's just newspaper and corrugated cardboard,0 0 0 0 0 0 0 I 0 0 0 0,WDT IN DT NN PRP VBZ RB JJ NN CC JJ NN
4483-9,is the only thing you 're supposed to put in there,is the only thing you 're supposed to put in there,0 0 0 0 0 0 0 0 0 0 0,VBZ DT JJ NN PRP VBP VBN TO VB IN RB
4483-9,no slicks,no slicks,0 0,DT NNS
4483-9,uh,,I,NN
3469-7,yeah that 's true,that 's true,I 0 0 0,NN DT VBZ JJ
3469-7,i mean you ca n't just come over to the country because uh you want to,you ca n't just come over to the country because you want to,I I 0 0 0 0 0 0 0 0 0 0 I 0 0 0,JJ VBP PRP MD RB RB VBN IN TO DT NN IN IN PRP VBP TO
3469-7,you know that 's not good enough,that 's not good enough,I I 0 0 0 0 0,PRP VBP DT VBZ RB JJ RB
3469-7,you have to have a have to have a darn good reason of political or whatever,you have to have a darn good reason of political or whatever,0 0 0 0 0 I I I I 0 0 0 0 0 0 0,PRP VBP TO VB DT VBP TO VB DT NN JJ NN IN JJ CC WDT
3469-7,not a good not a good easy way to get in,not a good easy way to get in,0 0 0 I I I 0 0 0 0 0,RB DT JJ RB DT JJ JJ NN TO VB IN
